,T1_C,T2_C,T3_C,x_HP,x_FAN,U_HP_V,I_HP_mA
2024-10-30 17:01:46.306116,37.59,38.35,40.89,50,0,2.0,8.0
2024-10-30 17:01:47.283160,37.54,38.35,41.08,50,0,2.0,4.0
2024-10-30 17:01:57.270971,37.38,38.21,42.71,50,0,2.0,134.0
2024-10-30 17:02:07.272613,37.32,38.07,43.89,50,0,2.0,224.0
2024-10-30 17:02:17.317478,37.25,37.98,44.76,50,0,2.0,268.0
2024-10-30 17:02:27.264533,37.21,37.91,45.54,50,0,2.0,354.0
2024-10-30 17:02:37.285020,37.15,37.84,46.17,50,0,2.0,333.0
2024-10-30 17:02:48.296466,37.12,37.77,46.76,50,0,2.0,318.0
2024-10-30 17:02:58.370050,37.09,37.72,47.23,50,0,2.0,268.0
2024-10-30 17:03:08.293231,37.06,37.68,47.67,50,0,2.0,221.0
2024-10-30 17:03:18.270766,37.04,37.65,48.04,50,0,2.0,263.0
2024-10-30 17:03:28.301638,37.03,37.64,48.37,50,0,2.0,400.0
2024-10-30 17:03:38.265591,37.03,37.6,48.67,50,0,2.0,382.0
2024-10-30 17:03:48.264077,37.02,37.58,48.93,50,0,2.0,380.0
2024-10-30 17:03:59.288264,37.02,37.57,49.18,50,0,2.0,444.0
2024-10-30 17:04:09.294526,37.01,37.56,49.35,50,0,2.0,374.0
2024-10-30 17:04:19.412512,37.02,37.56,49.6,50,0,2.0,383.0
2024-10-30 17:04:29.259776,37.02,37.54,49.82,50,0,2.0,398.0
2024-10-30 17:04:39.276183,37.03,37.54,50.02,50,0,2.0,400.0
2024-10-30 17:04:49.268172,37.03,37.54,50.2,50,0,2.0,404.0
2024-10-30 17:05:00.293859,37.05,37.56,50.41,50,0,2.0,269.0
2024-10-30 17:05:10.262723,37.07,37.57,50.57,50,0,2.0,389.0
2024-10-30 17:05:20.270193,37.08,37.57,50.71,50,0,2.0,400.0
2024-10-30 17:05:30.278533,37.1,37.59,50.83,50,0,2.0,285.0
2024-10-30 17:05:40.316003,37.12,37.6,50.96,50,0,2.0,355.0
2024-10-30 17:05:50.285057,37.14,37.62,51.17,50,0,2.0,399.0
2024-10-30 17:06:00.315888,37.17,37.64,51.32,50,0,2.0,400.0
2024-10-30 17:06:11.340878,37.2,37.65,51.5,50,0,2.0,400.0
2024-10-30 17:06:21.265385,37.22,37.67,51.63,50,0,2.0,366.0
2024-10-30 17:06:31.295224,37.26,37.71,51.72,50,0,2.0,445.0
2024-10-30 17:06:41.326441,37.28,37.71,51.84,50,0,2.0,400.0
2024-10-30 17:06:51.315210,37.29,37.74,51.96,50,0,2.0,384.0
2024-10-30 17:07:01.285708,37.32,37.75,52.09,50,0,2.0,510.0
2024-10-30 17:07:11.305571,37.35,37.78,52.21,50,0,2.0,499.0
2024-10-30 17:07:22.276709,37.39,37.8,52.32,50,0,2.0,400.0
2024-10-30 17:07:32.317568,37.43,37.83,52.43,50,0,2.0,433.0
2024-10-30 17:07:42.293283,37.46,37.86,52.54,50,0,2.0,450.0
2024-10-30 17:07:52.276393,37.5,37.89,52.66,50,0,2.0,497.0
2024-10-30 17:08:02.284434,37.53,37.92,52.74,50,0,2.0,428.0
2024-10-30 17:08:12.369413,37.57,37.95,52.81,50,0,2.0,404.0
2024-10-30 17:08:22.282516,37.6,37.98,52.91,50,0,2.0,487.0
2024-10-30 17:08:33.283571,37.64,38.02,53.0,50,0,2.0,489.0
2024-10-30 17:08:43.365369,37.68,38.05,53.05,50,0,2.0,417.0
2024-10-30 17:08:53.319352,37.71,38.1,53.1,50,0,2.0,417.0
2024-10-30 17:09:03.362928,37.75,38.12,53.17,50,0,2.0,355.0
2024-10-30 17:09:13.367372,37.78,38.14,53.28,50,0,2.0,449.0
2024-10-30 17:09:23.330070,37.82,38.19,53.33,50,0,2.0,400.0
2024-10-30 17:09:33.312319,37.86,38.21,53.43,50,0,2.0,396.0
2024-10-30 17:09:43.391351,37.89,38.25,53.44,50,0,2.0,510.0
2024-10-30 17:09:54.273283,37.94,38.3,53.46,50,0,2.0,445.0
2024-10-30 17:10:04.373198,37.95,38.29,53.57,50,0,2.0,400.0
2024-10-30 17:10:14.292923,37.99,38.33,53.67,50,0,2.0,384.0
2024-10-30 17:10:24.316836,38.02,38.37,53.78,50,0,2.0,510.0
2024-10-30 17:10:34.364117,38.07,38.4,53.86,50,0,2.0,400.0
2024-10-30 17:10:44.302524,38.1,38.44,53.95,50,0,2.0,400.0
2024-10-30 17:10:55.359904,38.14,38.46,53.99,50,0,2.0,433.0
2024-10-30 17:11:05.423396,38.19,38.5,54.04,50,0,2.0,450.0
2024-10-30 17:11:15.322528,38.23,38.54,54.09,50,0,2.0,497.0
2024-10-30 17:11:25.381526,38.26,38.59,54.11,50,0,2.0,428.0
2024-10-30 17:11:35.297198,38.3,38.64,54.19,50,0,2.0,404.0
