,T1_C,T2_C,T3_C,x_HP,x_FAN,U_HP_V,I_HP_mA
2024-10-30 17:22:16.286490,40.03,40.82,56.67,100,0,410.0,1704.0
2024-10-30 17:22:17.276519,40.01,40.82,56.64,100,0,418.0,1689.0
2024-10-30 17:22:27.330754,40.1,40.75,56.36,100,0,402.0,1640.0
2024-10-30 17:22:38.285284,40.24,40.73,56.2,100,0,394.0,1629.0
2024-10-30 17:22:48.331939,40.34,40.75,56.19,100,0,394.0,1624.0
2024-10-30 17:22:58.277456,40.43,40.77,56.2,100,0,394.0,1621.0
2024-10-30 17:23:08.281916,40.52,40.82,56.28,100,0,386.0,1620.0
2024-10-30 17:23:18.280144,40.6,40.86,56.34,100,0,394.0,1620.0
2024-10-30 17:23:28.283576,40.67,40.92,56.43,100,0,394.0,1618.0
2024-10-30 17:23:38.286379,40.75,40.98,56.65,100,0,394.0,1613.0
2024-10-30 17:23:49.430492,40.84,41.04,56.89,100,0,394.0,1611.0
2024-10-30 17:23:59.301891,40.92,41.11,57.13,100,0,394.0,1612.0
2024-10-30 17:24:09.333622,40.99,41.17,57.33,100,0,394.0,1610.0
2024-10-30 17:24:19.337737,41.08,41.24,57.51,100,0,394.0,1610.0
2024-10-30 17:24:29.306235,41.16,41.31,57.73,100,0,394.0,1608.0
2024-10-30 17:24:39.305419,41.24,41.37,57.92,100,0,394.0,1605.0
2024-10-30 17:24:50.290785,41.34,41.45,58.07,100,0,394.0,1606.0
2024-10-30 17:25:00.294186,41.41,41.53,58.23,100,0,386.0,1603.0
2024-10-30 17:25:10.278188,41.5,41.6,58.36,100,0,394.0,1602.0
2024-10-30 17:25:20.322949,41.57,41.68,58.51,100,0,394.0,1600.0
2024-10-30 17:25:30.338561,41.64,41.77,58.61,100,0,394.0,1603.0
2024-10-30 17:25:40.326016,41.72,41.83,58.75,100,0,394.0,1598.0
2024-10-30 17:25:50.305720,41.81,41.92,58.97,100,0,386.0,1595.0
2024-10-30 17:26:01.312793,41.89,42.0,59.17,100,0,394.0,1595.0
2024-10-30 17:26:11.327292,41.98,42.07,59.31,100,0,394.0,1598.0
2024-10-30 17:26:21.291215,42.07,42.14,59.42,100,0,394.0,1597.0
2024-10-30 17:26:31.302356,42.14,42.22,59.54,100,0,386.0,1595.0
2024-10-30 17:26:41.321017,42.22,42.28,59.65,100,0,394.0,1596.0
2024-10-30 17:26:51.296793,42.3,42.37,59.73,100,0,394.0,1594.0
2024-10-30 17:27:01.335002,42.38,42.46,59.87,100,0,394.0,1594.0
2024-10-30 17:27:12.282899,42.46,42.55,60.02,100,0,386.0,1589.0
2024-10-30 17:27:22.302537,42.54,42.65,60.11,100,0,386.0,1590.0
2024-10-30 17:27:32.324129,42.64,42.72,60.18,100,0,394.0,1594.0
2024-10-30 17:27:42.311955,42.7,42.81,60.28,100,0,394.0,1590.0
2024-10-30 17:27:52.335018,42.78,42.89,60.41,100,0,386.0,1591.0
2024-10-30 17:28:02.324943,42.86,42.97,60.59,100,0,394.0,1590.0
2024-10-30 17:28:13.321047,42.95,43.04,60.74,100,0,394.0,1590.0
2024-10-30 17:28:23.323515,43.02,43.12,60.86,100,0,394.0,1588.0
2024-10-30 17:28:33.308088,43.1,43.18,60.97,100,0,386.0,1592.0
2024-10-30 17:28:43.288246,43.17,43.25,61.04,100,0,394.0,1590.0
2024-10-30 17:28:53.303359,43.25,43.32,61.2,100,0,394.0,1590.0
2024-10-30 17:29:03.302549,43.32,43.39,61.32,100,0,394.0,1591.0
2024-10-30 17:29:13.289562,43.39,43.47,61.47,100,0,394.0,1589.0
2024-10-30 17:29:23.326132,43.45,43.54,61.6,100,0,394.0,1587.0
2024-10-30 17:29:34.293006,43.52,43.62,61.73,100,0,394.0,1589.0
2024-10-30 17:29:44.304806,43.6,43.69,61.82,100,0,386.0,1589.0
2024-10-30 17:29:54.309087,43.66,43.76,61.91,100,0,394.0,1590.0
2024-10-30 17:30:04.295047,43.68,43.82,61.83,100,0,394.0,1588.0
2024-10-30 17:30:14.297203,43.71,43.86,61.82,100,0,386.0,1594.0
2024-10-30 17:30:24.294803,43.77,43.93,61.99,100,0,394.0,1592.0
2024-10-30 17:30:35.307063,43.83,43.99,62.14,100,0,402.0,1594.0
2024-10-30 17:30:45.288893,43.89,44.04,62.27,100,0,394.0,1594.0
2024-10-30 17:30:55.308588,43.96,44.1,62.38,100,0,394.0,1592.0
2024-10-30 17:31:05.331359,44.02,44.17,62.51,100,0,394.0,1592.0
2024-10-30 17:31:15.310350,44.09,44.24,62.63,100,0,402.0,1593.0
2024-10-30 17:31:25.312972,44.16,44.29,62.74,100,0,394.0,1595.0
2024-10-30 17:31:36.288049,44.21,44.35,62.83,100,0,394.0,1595.0
2024-10-30 17:31:46.302207,44.28,44.41,62.96,100,0,402.0,1593.0
2024-10-30 17:31:56.310905,44.33,44.46,63.07,100,0,394.0,1593.0
2024-10-30 17:32:06.289739,44.39,44.53,63.14,100,0,394.0,1593.0
