,T1_C,T2_C,T3_C,x_HP,x_FAN,U_HP_V,I_HP_mA
2024-10-30 16:26:31.548915,30.25,30.27,40.28,0,0,1922.0,-2.0
2024-10-30 16:26:32.320820,30.28,30.28,40.1,0,0,1922.0,0.0
2024-10-30 16:26:42.324512,30.44,30.4,38.53,0,0,1922.0,1.0
2024-10-30 16:26:52.339613,30.53,30.53,37.33,0,0,1922.0,0.0
2024-10-30 16:27:03.344970,30.62,30.67,36.42,0,0,1930.0,-1.0
2024-10-30 16:27:13.369323,30.7,30.76,35.7,0,0,1930.0,-2.0
2024-10-30 16:27:23.503771,30.77,30.86,35.13,0,0,1922.0,-1.0
2024-10-30 16:27:33.305504,30.84,30.94,34.64,0,0,1930.0,-2.0
2024-10-30 16:27:43.392870,30.9,31.01,34.28,0,0,1938.0,-4.0
2024-10-30 16:27:54.452119,30.97,31.1,33.89,0,0,1930.0,-2.0
2024-10-30 16:28:04.372150,31.03,31.17,33.6,0,0,1938.0,-2.0
2024-10-30 16:28:14.392469,31.09,31.24,33.41,0,0,1930.0,-2.0
2024-10-30 16:28:24.415242,31.15,31.3,33.25,0,0,1938.0,-2.0
2024-10-30 16:28:35.314943,31.21,31.36,33.07,0,0,1930.0,-2.0
2024-10-30 16:28:45.322053,31.27,31.42,32.96,0,0,1930.0,1.0
2024-10-30 16:28:55.329034,31.32,31.48,32.86,0,0,1930.0,0.0
2024-10-30 16:29:05.391976,31.37,31.53,32.78,0,0,1930.0,2.0
2024-10-30 16:29:15.438618,31.42,31.6,32.71,0,0,1930.0,-1.0
2024-10-30 16:29:26.316820,31.47,31.65,32.64,0,0,1930.0,-2.0
2024-10-30 16:29:36.390850,31.52,31.7,32.6,0,0,1938.0,0.0
2024-10-30 16:29:46.456821,31.57,31.75,32.55,0,0,1930.0,-1.0
2024-10-30 16:29:56.341070,31.61,31.8,32.5,0,0,1938.0,0.0
2024-10-30 16:30:06.427638,31.66,31.85,32.46,0,0,1938.0,-2.0
2024-10-30 16:30:16.343724,31.71,31.9,32.44,0,0,1938.0,-2.0
2024-10-30 16:30:27.324565,31.76,31.95,32.41,0,0,1930.0,-3.0
2024-10-30 16:30:36.422572,31.81,32.0,32.4,0,0,1938.0,-1.0
2024-10-30 16:30:47.307084,31.85,32.04,32.39,0,0,1930.0,1.0
2024-10-30 16:30:57.376538,31.89,32.09,32.38,0,0,1938.0,-1.0
2024-10-30 16:31:08.311412,31.94,32.14,32.37,0,0,1930.0,-1.0
2024-10-30 16:31:18.421317,31.99,32.19,32.35,0,0,1938.0,-1.0
2024-10-30 16:31:28.464465,32.03,32.24,32.36,0,0,1938.0,-1.0
2024-10-30 16:31:38.305000,32.07,32.28,32.36,0,0,1938.0,-1.0
2024-10-30 16:31:48.372431,32.11,32.32,32.36,0,0,1930.0,-4.0
2024-10-30 16:31:59.330182,32.17,32.38,32.34,0,0,1938.0,1.0
2024-10-30 16:32:09.446613,32.2,32.41,32.35,0,0,1930.0,-2.0
2024-10-30 16:32:19.407469,32.25,32.46,32.34,0,0,1930.0,-1.0
2024-10-30 16:32:29.334372,32.28,32.5,32.35,0,0,1938.0,-1.0
2024-10-30 16:32:39.369423,32.32,32.53,32.34,0,0,1930.0,-2.0
2024-10-30 16:32:49.419695,32.35,32.57,32.35,0,0,1938.0,0.0
2024-10-30 16:32:59.440343,32.39,32.61,32.35,0,0,1938.0,1.0
2024-10-30 16:33:10.399174,32.43,32.65,32.36,0,0,1930.0,1.0
2024-10-30 16:33:20.342802,32.46,32.69,32.36,0,0,1938.0,0.0
2024-10-30 16:33:30.382837,32.5,32.72,32.37,0,0,1938.0,-2.0
2024-10-30 16:33:40.316720,32.53,32.76,32.37,0,0,1930.0,-2.0
2024-10-30 16:33:50.305804,32.57,32.79,32.38,0,0,1938.0,-1.0
2024-10-30 16:34:00.414826,32.6,32.83,32.38,0,0,1938.0,-3.0
2024-10-30 16:34:11.357431,32.64,32.88,32.37,0,0,1930.0,-3.0
2024-10-30 16:34:21.406364,32.67,32.9,32.38,0,0,1930.0,-1.0
2024-10-30 16:34:31.405512,32.71,32.94,32.39,0,0,1938.0,0.0
2024-10-30 16:34:41.341615,32.74,32.97,32.38,0,0,1930.0,0.0
2024-10-30 16:34:52.413261,32.78,33.01,32.39,0,0,1930.0,-2.0
2024-10-30 16:35:02.315878,32.81,33.04,32.37,0,0,1930.0,-3.0
2024-10-30 16:35:12.372423,32.83,33.07,32.39,0,0,1938.0,0.0
2024-10-30 16:35:22.324605,32.87,33.1,32.4,0,0,1930.0,-2.0
2024-10-30 16:35:33.352950,32.9,33.13,32.41,0,0,1930.0,-2.0
2024-10-30 16:35:43.298808,32.93,33.16,32.42,0,0,1930.0,1.0
2024-10-30 16:35:53.318775,32.96,33.19,32.42,0,0,1938.0,-2.0
2024-10-30 16:36:03.352628,32.99,33.21,32.42,0,0,1930.0,-1.0
2024-10-30 16:36:13.306862,33.01,33.24,32.42,0,0,1938.0,1.0
2024-10-30 16:36:23.319595,33.04,33.27,32.44,0,0,1938.0,-3.0
2024-10-30 16:36:33.354002,33.07,33.3,32.43,0,0,1930.0,0.0
2024-10-30 16:36:44.433343,33.1,33.33,32.43,0,0,1930.0,0.0
2024-10-30 16:36:54.336115,33.12,33.35,32.42,0,0,1938.0,-3.0
2024-10-30 16:37:04.473365,33.15,33.39,32.42,0,0,1930.0,-1.0
2024-10-30 16:37:14.425296,33.17,33.42,32.44,0,0,1930.0,0.0
2024-10-30 16:37:24.355711,33.2,33.43,32.46,0,0,1938.0,-2.0
2024-10-30 16:37:34.405690,33.21,33.46,32.48,0,0,1938.0,-1.0
2024-10-30 16:37:44.345612,33.25,33.49,32.48,0,0,1930.0,0.0
2024-10-30 16:37:54.358113,33.27,33.51,32.48,0,0,1938.0,0.0
2024-10-30 16:38:05.303351,33.29,33.53,32.5,0,0,1930.0,-2.0
2024-10-30 16:38:15.355770,33.32,33.57,32.5,0,0,1938.0,-4.0
2024-10-30 16:38:25.305382,33.34,33.58,32.51,0,0,1930.0,1.0
2024-10-30 16:38:35.321918,33.37,33.6,32.51,0,0,1930.0,-2.0
