,T1_C,T2_C,T3_C,x_HP,x_FAN,U_HP_V,I_HP_mA
2024-10-30 16:51:17.403503,36.29,36.39,37.94,0,0,1922.0,-2.0
2024-10-30 16:51:18.407762,36.3,36.39,37.94,0,0,1930.0,0.0
2024-10-30 16:51:28.328310,36.34,36.43,37.99,0,0,1930.0,1.0
2024-10-30 16:51:38.347473,36.37,36.47,38.02,0,0,1922.0,-2.0
2024-10-30 16:51:48.394454,36.42,36.53,38.05,0,0,1922.0,1.0
2024-10-30 16:51:59.364163,36.45,36.55,38.1,0,0,1922.0,-1.0
2024-10-30 16:52:09.384812,36.48,36.58,38.13,0,0,1922.0,1.0
2024-10-30 16:52:19.314291,36.51,36.61,38.17,0,0,1922.0,-3.0
2024-10-30 16:52:29.344708,36.55,36.65,38.22,0,0,1922.0,-3.0
2024-10-30 16:52:39.387139,36.58,36.68,38.26,0,0,1930.0,-2.0
2024-10-30 16:52:50.335570,36.64,36.73,38.3,0,0,1922.0,-1.0
2024-10-30 16:53:00.376598,36.67,36.78,38.33,0,0,1922.0,-4.0
2024-10-30 16:53:10.310075,36.71,36.8,38.34,0,0,1922.0,-1.0
2024-10-30 16:53:20.359947,36.74,36.84,38.39,0,0,1922.0,-1.0
2024-10-30 16:53:30.371264,36.78,36.88,38.38,0,0,1922.0,-1.0
2024-10-30 16:53:40.299947,36.82,36.91,38.42,0,0,1930.0,-2.0
2024-10-30 16:53:51.382993,36.86,36.94,38.48,0,0,1930.0,-2.0
2024-10-30 16:54:01.273232,36.89,36.98,38.52,0,0,1914.0,-1.0
2024-10-30 16:54:11.386015,36.93,37.02,38.55,0,0,1922.0,0.0
2024-10-30 16:54:21.376631,36.96,37.05,38.6,0,0,1922.0,-1.0
2024-10-30 16:54:31.286511,37.0,37.09,38.64,0,0,1922.0,1.0
2024-10-30 16:54:41.367093,37.03,37.13,38.69,0,0,1922.0,0.0
2024-10-30 16:54:52.284733,37.08,37.17,38.72,0,0,1922.0,0.0
2024-10-30 16:55:02.286983,37.13,37.21,38.75,0,0,1930.0,-1.0
2024-10-30 16:55:12.371588,37.15,37.24,38.74,0,0,1922.0,-1.0
2024-10-30 16:55:22.287644,37.18,37.28,38.75,0,0,1922.0,-1.0
2024-10-30 16:55:32.292606,37.22,37.31,38.78,0,0,1914.0,0.0
2024-10-30 16:55:42.379218,37.25,37.34,38.82,0,0,1922.0,-1.0
2024-10-30 16:55:53.269069,37.3,37.38,38.85,0,0,1922.0,0.0
2024-10-30 16:56:03.288777,37.33,37.4,38.9,0,0,1914.0,-1.0
2024-10-30 16:56:13.297454,37.36,37.44,38.94,0,0,1922.0,-1.0
2024-10-30 16:56:23.303010,37.39,37.47,38.93,0,0,1922.0,-1.0
2024-10-30 16:56:33.286754,37.42,37.51,39.0,0,0,1922.0,-3.0
2024-10-30 16:56:44.267184,37.46,37.54,39.04,0,0,1922.0,1.0
2024-10-30 16:56:54.369061,37.5,37.57,39.09,0,0,1922.0,-1.0
2024-10-30 16:57:04.286341,37.53,37.6,39.13,0,0,1922.0,0.0
2024-10-30 16:57:14.284363,37.57,37.63,39.15,0,0,1914.0,-2.0
2024-10-30 16:57:24.353399,37.6,37.67,39.2,0,0,1922.0,1.0
2024-10-30 16:57:34.333244,37.63,37.7,39.22,0,0,1922.0,-2.0
2024-10-30 16:57:45.316402,37.66,37.73,39.21,0,0,1922.0,-2.0
2024-10-30 16:57:55.275309,37.69,37.76,39.23,0,0,1914.0,1.0
2024-10-30 16:58:05.286440,37.71,37.79,39.26,0,0,1922.0,-1.0
2024-10-30 16:58:15.291076,37.75,37.82,39.3,0,0,1922.0,-1.0
2024-10-30 16:58:25.317497,37.78,37.85,39.29,0,0,1922.0,-1.0
2024-10-30 16:58:35.264160,37.8,37.88,39.3,0,0,1922.0,-2.0
2024-10-30 16:58:46.388031,37.84,37.91,39.32,0,0,1922.0,-1.0
2024-10-30 16:58:56.299985,37.87,37.95,39.35,0,0,1914.0,1.0
2024-10-30 16:59:06.337895,37.9,37.98,39.4,0,0,1914.0,-2.0
2024-10-30 16:59:16.417482,37.92,38.0,39.45,0,0,1922.0,0.0
2024-10-30 16:59:26.270922,37.95,38.03,39.49,0,0,1914.0,-1.0
2024-10-30 16:59:36.387338,37.98,38.05,39.53,0,0,1922.0,-4.0
2024-10-30 16:59:47.296464,38.01,38.08,39.57,0,0,1922.0,-1.0
2024-10-30 16:59:57.339673,38.03,38.1,39.56,0,0,1922.0,1.0
2024-10-30 17:00:07.385300,38.07,38.13,39.57,0,0,1914.0,-1.0
2024-10-30 17:00:17.290928,38.1,38.16,39.6,0,0,1914.0,1.0
2024-10-30 17:00:27.339332,38.12,38.19,39.64,0,0,1914.0,-3.0
2024-10-30 17:00:37.391560,38.14,38.22,39.67,0,0,1922.0,-3.0
2024-10-30 17:00:47.315034,38.17,38.25,39.67,0,0,1922.0,-2.0
2024-10-30 17:00:57.273258,38.21,38.27,39.68,0,0,1922.0,0.0
