,T1_C,T2_C,T3_C,x_HP,x_FAN,U_HP_V,I_HP_mA
2024-10-30 16:40:51.399900,33.7,33.9,33.65,0,0,1930.0,0.0
2024-10-30 16:40:52.331126,33.71,33.91,33.67,0,0,1930.0,-1.0
2024-10-30 16:41:02.346051,33.75,33.93,33.78,0,0,1930.0,3.0
2024-10-30 16:41:12.393575,33.78,33.97,33.87,0,0,1930.0,1.0
2024-10-30 16:41:22.353310,33.81,34.0,33.97,0,0,1930.0,-1.0
2024-10-30 16:41:33.308864,33.85,34.04,34.09,0,0,1930.0,-2.0
2024-10-30 16:41:43.316410,33.89,34.08,34.19,0,0,1930.0,0.0
2024-10-30 16:41:53.305081,33.93,34.11,34.28,0,0,1930.0,-2.0
2024-10-30 16:42:03.316823,33.97,34.15,34.4,0,0,1930.0,-1.0
2024-10-30 16:42:14.373749,34.02,34.2,34.49,0,0,1930.0,2.0
2024-10-30 16:42:24.502156,34.06,34.23,34.57,0,0,1930.0,-1.0
2024-10-30 16:42:34.337545,34.1,34.28,34.66,0,0,1930.0,2.0
2024-10-30 16:42:44.334390,34.14,34.32,34.75,0,0,1930.0,-1.0
2024-10-30 16:42:54.406836,34.18,34.35,34.85,0,0,1922.0,0.0
2024-10-30 16:43:05.350078,34.24,34.39,34.96,0,0,1930.0,-2.0
2024-10-30 16:43:15.380134,34.28,34.43,35.0,0,0,1930.0,0.0
2024-10-30 16:43:25.301771,34.32,34.46,35.06,0,0,1930.0,-1.0
2024-10-30 16:43:35.340165,34.35,34.5,35.14,0,0,1930.0,0.0
2024-10-30 16:43:46.280548,34.41,34.56,35.23,0,0,1930.0,0.0
2024-10-30 16:43:56.332389,34.46,34.59,35.29,0,0,1930.0,-2.0
2024-10-30 16:44:06.284561,34.5,34.64,35.38,0,0,1922.0,-4.0
2024-10-30 16:44:16.416365,34.53,34.67,35.48,0,0,1922.0,0.0
2024-10-30 16:44:26.297480,34.58,34.71,35.57,0,0,1922.0,-3.0
2024-10-30 16:44:36.356093,34.62,34.75,35.65,0,0,1922.0,-5.0
2024-10-30 16:44:47.338791,34.67,34.8,35.72,0,0,1930.0,-2.0
2024-10-30 16:44:57.407417,34.71,34.84,35.82,0,0,1930.0,0.0
2024-10-30 16:45:07.310191,34.75,34.89,35.9,0,0,1922.0,-3.0
2024-10-30 16:45:17.349133,34.79,34.92,35.96,0,0,1930.0,0.0
2024-10-30 16:45:27.295735,34.85,34.97,36.04,0,0,1930.0,-2.0
2024-10-30 16:45:38.303116,34.89,35.01,36.07,0,0,1922.0,0.0
2024-10-30 16:45:48.357306,34.92,35.06,36.14,0,0,1930.0,-3.0
2024-10-30 16:45:58.295932,34.97,35.1,36.21,0,0,1930.0,-1.0
2024-10-30 16:46:08.332905,35.02,35.14,36.3,0,0,1930.0,0.0
2024-10-30 16:46:18.373799,35.07,35.17,36.36,0,0,1930.0,-2.0
2024-10-30 16:46:29.331533,35.12,35.22,36.44,0,0,1930.0,-2.0
2024-10-30 16:46:39.368680,35.16,35.27,36.51,0,0,1922.0,0.0
2024-10-30 16:46:49.387773,35.2,35.31,36.56,0,0,1930.0,-3.0
2024-10-30 16:46:59.325862,35.25,35.36,36.62,0,0,1930.0,-1.0
2024-10-30 16:47:09.357571,35.3,35.39,36.67,0,0,1922.0,-2.0
2024-10-30 16:47:20.325939,35.34,35.44,36.71,0,0,1922.0,-2.0
2024-10-30 16:47:30.290414,35.39,35.5,36.78,0,0,1922.0,-1.0
2024-10-30 16:47:40.387212,35.43,35.55,36.85,0,0,1922.0,0.0
2024-10-30 16:47:50.279969,35.47,35.59,36.9,0,0,1922.0,0.0
2024-10-30 16:48:01.375808,35.53,35.63,36.96,0,0,1922.0,-1.0
2024-10-30 16:48:11.332605,35.57,35.67,37.02,0,0,1922.0,0.0
2024-10-30 16:48:21.373475,35.6,35.71,37.05,0,0,1922.0,1.0
2024-10-30 16:48:31.373597,35.64,35.75,37.1,0,0,1922.0,-1.0
2024-10-30 16:48:41.311048,35.68,35.79,37.17,0,0,1930.0,-2.0
2024-10-30 16:48:51.276176,35.73,35.82,37.19,0,0,1922.0,0.0
2024-10-30 16:49:01.392031,35.76,35.86,37.26,0,0,1922.0,3.0
2024-10-30 16:49:12.349073,35.82,35.92,37.31,0,0,1930.0,-1.0
2024-10-30 16:49:22.378651,35.86,35.96,37.35,0,0,1930.0,0.0
2024-10-30 16:49:32.294391,35.91,36.0,37.42,0,0,1930.0,-2.0
2024-10-30 16:49:42.356373,35.95,36.05,37.48,0,0,1922.0,0.0
2024-10-30 16:49:52.411189,35.99,36.09,37.51,0,0,1922.0,-3.0
2024-10-30 16:50:02.324615,36.03,36.12,37.55,0,0,1922.0,1.0
2024-10-30 16:50:13.289302,36.07,36.17,37.63,0,0,1922.0,3.0
2024-10-30 16:50:23.427344,36.09,36.21,37.7,0,0,1922.0,-2.0
2024-10-30 16:50:33.326313,36.11,36.22,37.75,0,0,1922.0,-1.0
