,T1_C,T2_C,T3_C,x_HP,x_FAN,U_HP_V,I_HP_mA
2024-10-30 16:05:41.385868,32.41,33.38,33.39,50,0,2.0,-129.0
2024-10-30 16:05:42.351941,32.37,33.36,33.6,50,0,2.0,-80.0
2024-10-30 16:05:52.376272,32.21,33.21,35.24,50,0,2.0,-26.0
2024-10-30 16:06:02.338615,32.11,33.07,36.32,50,0,2.0,48.0
2024-10-30 16:06:12.338621,32.03,32.96,37.24,50,0,2.0,3.0
2024-10-30 16:06:22.336201,31.94,32.85,37.96,50,0,2.0,37.0
2024-10-30 16:06:33.333278,31.86,32.74,38.6,50,0,2.0,113.0
2024-10-30 16:06:43.352240,31.79,32.65,39.0,50,0,2.0,134.0
2024-10-30 16:06:53.333196,31.73,32.57,39.39,50,0,2.0,4.0
2024-10-30 16:07:03.324394,31.67,32.5,39.71,50,0,2.0,55.0
2024-10-30 16:07:14.397281,31.61,32.42,39.97,50,0,2.0,112.0
2024-10-30 16:07:24.344862,31.55,32.37,40.17,50,0,2.0,107.0
2024-10-30 16:07:34.328307,31.51,32.31,40.35,50,0,2.0,91.0
2024-10-30 16:07:44.319116,31.45,32.26,40.47,50,0,2.0,92.0
2024-10-30 16:07:54.345442,31.4,32.21,40.58,50,0,2.0,135.0
2024-10-30 16:08:05.343066,31.36,32.14,40.71,50,0,2.0,153.0
2024-10-30 16:08:15.320611,31.32,32.09,40.78,50,0,2.0,91.0
2024-10-30 16:08:25.334503,31.28,32.05,40.79,50,0,2.0,131.0
2024-10-30 16:08:35.449834,31.22,32.0,40.86,50,0,2.0,136.0
2024-10-30 16:08:45.352688,31.2,31.96,40.89,50,0,2.0,0.0
2024-10-30 16:08:55.321060,31.14,31.92,40.96,50,0,2.0,114.0
2024-10-30 16:09:06.352775,31.12,31.88,41.03,50,0,2.0,136.0
2024-10-30 16:09:16.347042,31.09,31.84,41.03,50,0,2.0,12.0
2024-10-30 16:09:26.367710,31.06,31.8,41.07,50,0,2.0,115.0
2024-10-30 16:09:37.328767,31.0,31.77,41.09,50,0,2.0,180.0
2024-10-30 16:09:47.328425,30.99,31.73,41.13,50,0,2.0,136.0
2024-10-30 16:09:57.394484,30.96,31.7,41.15,50,0,2.0,37.0
2024-10-30 16:10:07.360219,30.92,31.67,41.17,50,0,2.0,125.0
2024-10-30 16:10:18.394568,30.89,31.64,41.2,50,0,2.0,134.0
2024-10-30 16:10:28.423495,30.87,31.61,41.18,50,0,2.0,136.0
2024-10-30 16:10:38.327500,30.84,31.58,41.16,50,0,2.0,71.0
2024-10-30 16:10:48.326028,30.78,31.56,41.17,50,0,2.0,92.0
2024-10-30 16:10:59.331019,30.79,31.53,41.18,50,0,2.0,136.0
2024-10-30 16:11:09.398042,30.78,31.5,41.21,50,0,2.0,140.0
2024-10-30 16:11:19.414782,30.75,31.47,41.19,50,0,2.0,93.0
2024-10-30 16:11:29.356496,30.71,31.44,41.2,50,0,2.0,135.0
2024-10-30 16:11:39.365295,30.67,31.42,41.17,50,0,2.0,136.0
2024-10-30 16:11:49.414837,30.64,31.4,41.16,50,0,2.0,88.0
2024-10-30 16:12:00.347241,30.63,31.37,41.18,50,0,2.0,131.0
2024-10-30 16:12:10.332775,30.6,31.34,41.21,50,0,2.0,136.0
2024-10-30 16:12:20.348975,30.57,31.32,41.22,50,0,2.0,6.0
2024-10-30 16:12:30.369252,30.55,31.3,41.23,50,0,2.0,180.0
2024-10-30 16:12:40.420059,30.53,31.28,41.25,50,0,2.0,136.0
2024-10-30 16:12:51.380801,30.51,31.26,41.25,50,0,2.0,120.0
2024-10-30 16:13:01.434763,30.49,31.24,41.26,50,0,2.0,182.0
2024-10-30 16:13:11.314959,30.48,31.21,41.28,50,0,2.0,134.0
2024-10-30 16:13:22.388552,30.45,31.19,41.29,50,0,2.0,136.0
2024-10-30 16:13:32.423623,30.45,31.17,41.29,50,0,2.0,37.0
2024-10-30 16:13:42.358215,30.42,31.16,41.28,50,0,2.0,233.0
2024-10-30 16:13:52.397801,30.42,31.14,41.29,50,0,2.0,136.0
2024-10-30 16:14:02.411086,30.39,31.13,41.31,50,0,2.0,140.0
2024-10-30 16:14:12.402070,30.37,31.1,41.32,50,0,2.0,92.0
2024-10-30 16:14:23.400503,30.37,31.09,41.33,50,0,2.0,92.0
2024-10-30 16:14:33.337632,30.36,31.08,41.29,50,0,2.0,103.0
2024-10-30 16:14:43.385054,30.32,31.06,41.28,50,0,2.0,93.0
2024-10-30 16:14:53.800563,30.32,31.04,41.28,50,0,2.0,131.0
2024-10-30 16:15:03.361406,30.31,31.03,41.25,50,0,2.0,136.0
2024-10-30 16:15:13.379436,30.28,31.02,41.22,50,0,2.0,105.0
2024-10-30 16:15:23.409623,30.3,31.0,41.24,50,0,2.0,180.0
2024-10-30 16:15:34.482312,30.27,30.99,41.23,50,0,2.0,136.0
2024-10-30 16:15:44.536835,30.26,30.98,41.25,50,0,2.0,120.0
2024-10-30 16:15:55.570920,30.25,30.96,41.25,50,0,2.0,105.0
2024-10-30 16:16:05.418837,30.22,30.96,41.23,50,0,2.0,246.0
2024-10-30 16:16:15.550169,30.22,30.94,41.19,50,0,2.0,136.0
2024-10-30 16:16:26.420070,30.22,30.93,41.18,50,0,2.0,120.0
2024-10-30 16:16:36.424358,30.2,30.92,41.17,50,0,2.0,131.0
2024-10-30 16:16:46.465974,30.19,30.92,41.18,50,0,2.0,134.0
2024-10-30 16:16:56.412744,30.17,30.9,41.19,50,0,2.0,136.0
2024-10-30 16:17:07.361023,30.17,30.89,41.25,50,0,2.0,37.0
2024-10-30 16:17:17.419252,30.15,30.86,41.25,50,0,2.0,125.0
2024-10-30 16:17:27.425356,30.15,30.85,41.25,50,0,2.0,136.0
2024-10-30 16:17:38.363531,30.12,30.84,41.25,50,0,2.0,136.0
2024-10-30 16:17:48.377125,30.13,30.83,41.24,50,0,2.0,55.0
2024-10-30 16:17:58.364695,30.1,30.82,41.21,50,0,2.0,92.0
2024-10-30 16:18:08.460263,30.08,30.82,41.22,50,0,2.0,153.0
2024-10-30 16:18:19.457617,30.1,30.8,41.21,50,0,2.0,140.0
2024-10-30 16:18:29.359328,30.09,30.8,41.23,50,0,2.0,92.0
2024-10-30 16:18:39.403701,30.08,30.78,41.2,50,0,2.0,135.0
2024-10-30 16:18:50.352351,30.07,30.78,41.2,50,0,2.0,136.0
2024-10-30 16:19:00.383461,30.07,30.78,41.2,50,0,2.0,91.0
2024-10-30 16:19:10.468802,30.06,30.78,41.18,50,0,2.0,131.0
2024-10-30 16:19:20.380218,30.05,30.77,41.21,50,0,2.0,136.0
2024-10-30 16:19:31.424007,30.06,30.76,41.24,50,0,2.0,136.0
2024-10-30 16:19:41.356224,30.06,30.75,41.25,50,0,2.0,88.0
2024-10-30 16:19:51.388665,30.06,30.75,41.25,50,0,2.0,136.0
2024-10-30 16:20:01.313257,30.04,30.73,41.25,50,0,2.0,118.0
2024-10-30 16:20:11.580785,30.03,30.73,41.27,50,0,2.0,179.0
