,T1_C,T2_C,T3_C,x_HP,x_FAN,U_HP_V,I_HP_mA
2024-10-30 17:11:58.275529,38.39,38.72,54.35,50,0,2.0,384.0
2024-10-30 17:11:59.317801,38.39,38.73,54.35,50,0,2.0,396.0
2024-10-30 17:12:09.284806,38.42,38.77,54.41,50,0,2.0,396.0
2024-10-30 17:12:19.280127,38.45,38.79,54.49,50,0,2.0,404.0
2024-10-30 17:12:29.319382,38.49,38.82,54.56,50,0,2.0,487.0
2024-10-30 17:12:39.282773,38.53,38.87,54.63,50,0,2.0,417.0
2024-10-30 17:12:50.266458,38.58,38.92,54.68,50,0,2.0,532.0
2024-10-30 17:13:00.299872,38.62,38.96,54.72,50,0,2.0,417.0
2024-10-30 17:13:10.280531,38.67,39.0,54.75,50,0,2.0,487.0
2024-10-30 17:13:20.310772,38.71,39.04,54.77,50,0,2.0,404.0
2024-10-30 17:13:30.314328,38.75,39.09,54.78,50,0,2.0,489.0
2024-10-30 17:13:40.294061,38.78,39.13,54.79,50,0,2.0,433.0
2024-10-30 17:13:51.291801,38.82,39.17,54.83,50,0,2.0,497.0
2024-10-30 17:14:01.277230,38.88,39.2,54.89,50,0,2.0,400.0
2024-10-30 17:14:11.301138,38.91,39.24,54.96,50,0,2.0,400.0
2024-10-30 17:14:21.284644,38.95,39.28,55.03,50,0,2.0,487.0
2024-10-30 17:14:31.282306,39.0,39.32,55.07,50,0,2.0,510.0
2024-10-30 17:14:41.303652,39.03,39.36,55.1,50,0,2.0,400.0
2024-10-30 17:14:51.300567,39.07,39.39,55.12,50,0,2.0,409.0
2024-10-30 17:15:02.272820,39.1,39.44,55.17,50,0,2.0,404.0
2024-10-30 17:15:12.287833,39.15,39.47,55.21,50,0,2.0,510.0
2024-10-30 17:15:22.270010,39.19,39.51,55.25,50,0,2.0,503.0
2024-10-30 17:15:32.291679,39.22,39.55,55.32,50,0,2.0,466.0
2024-10-30 17:15:42.300764,39.27,39.59,55.39,50,0,2.0,489.0
2024-10-30 17:15:53.281774,39.31,39.63,55.4,50,0,2.0,487.0
2024-10-30 17:16:03.279571,39.35,39.67,55.42,50,0,2.0,404.0
2024-10-30 17:16:13.301803,39.39,39.71,55.4,50,0,2.0,402.0
2024-10-30 17:16:23.298090,39.39,39.74,55.35,50,0,2.0,532.0
2024-10-30 17:16:33.268599,39.4,39.77,55.34,50,0,2.0,487.0
2024-10-30 17:16:43.307991,39.43,39.8,55.4,50,0,2.0,466.0
2024-10-30 17:16:54.267478,39.48,39.82,55.46,50,0,2.0,503.0
2024-10-30 17:17:04.295142,39.51,39.86,55.51,50,0,2.0,487.0
2024-10-30 17:17:14.315012,39.54,39.89,55.66,50,0,2.0,400.0
2024-10-30 17:17:24.328038,39.6,39.92,55.71,50,0,2.0,400.0
2024-10-30 17:17:34.281034,39.64,39.96,55.79,50,0,2.0,532.0
2024-10-30 17:17:44.294673,39.67,40.0,55.88,50,0,2.0,489.0
2024-10-30 17:17:54.291137,39.7,40.03,55.94,50,0,2.0,400.0
2024-10-30 17:18:05.291292,39.74,40.07,56.02,50,0,2.0,268.0
2024-10-30 17:18:15.303143,39.78,40.1,56.07,50,0,2.0,220.0
2024-10-30 17:18:25.298027,39.82,40.14,56.1,50,0,2.0,268.0
2024-10-30 17:18:35.299052,39.86,40.16,56.11,50,0,2.0,224.0
2024-10-30 17:18:45.326506,39.89,40.18,56.08,50,0,2.0,268.0
2024-10-30 17:18:55.297149,39.91,40.24,56.1,50,0,2.0,268.0
2024-10-30 17:19:05.307701,39.95,40.26,56.09,50,0,2.0,268.0
2024-10-30 17:19:16.282084,40.0,40.31,56.1,50,0,2.0,312.0
2024-10-30 17:19:26.287753,40.02,40.35,56.13,50,0,2.0,247.0
2024-10-30 17:19:36.283464,40.05,40.38,56.21,50,0,2.0,433.0
2024-10-30 17:19:46.277185,40.09,40.41,56.22,50,0,2.0,268.0
2024-10-30 17:19:56.301267,40.12,40.43,56.28,50,0,2.0,369.0
2024-10-30 17:20:06.289669,40.15,40.47,56.28,50,0,2.0,276.0
2024-10-30 17:20:17.315715,40.17,40.5,56.32,50,0,2.0,233.0
2024-10-30 17:20:27.288291,40.22,40.53,56.36,50,0,2.0,402.0
2024-10-30 17:20:37.333550,40.25,40.56,56.44,50,0,2.0,369.0
2024-10-30 17:20:47.282324,40.28,40.59,56.5,50,0,2.0,202.0
2024-10-30 17:20:57.331980,40.32,40.61,56.55,50,0,2.0,312.0
2024-10-30 17:21:07.283195,40.34,40.64,56.6,50,0,2.0,169.0
2024-10-30 17:21:17.294571,40.37,40.67,56.63,50,0,2.0,169.0
2024-10-30 17:21:28.327512,40.4,40.7,56.62,50,0,2.0,364.0
2024-10-30 17:21:38.290909,40.42,40.74,56.6,50,0,2.0,385.0
