,T1_C,T2_C,T3_C,x_HP,x_FAN,U_HP_V,I_HP_mA
2024-10-30 15:44:25.400312,31.45,31.67,31.53,0,0,1960.0,-2.0
2024-10-30 15:44:35.443288,31.5,31.71,31.54,0,0,1960.0,-2.0
2024-10-30 15:44:45.493752,31.53,31.74,31.55,0,0,1960.0,-2.0
2024-10-30 15:44:55.365817,31.58,31.78,31.55,0,0,1960.0,-2.0
2024-10-30 15:45:06.452363,31.6,31.82,31.57,0,0,1960.0,-2.0
2024-10-30 15:45:16.398927,31.64,31.85,31.57,0,0,1960.0,-2.0
2024-10-30 15:45:26.382844,31.67,31.89,31.55,0,0,1960.0,-2.0
2024-10-30 15:45:36.463091,31.7,31.91,31.55,0,0,1960.0,-2.0
2024-10-30 15:45:46.403879,31.73,31.94,31.57,0,0,1960.0,-2.0
2024-10-30 15:45:56.372753,31.76,31.97,31.58,0,0,1960.0,-2.0
2024-10-30 15:46:07.473981,31.78,32.0,31.59,0,0,1960.0,-2.0
2024-10-30 15:46:17.430777,31.82,32.03,31.6,0,0,1960.0,-2.0
2024-10-30 15:46:27.451428,31.85,32.07,31.61,0,0,1960.0,-2.0
2024-10-30 15:46:37.419166,31.87,32.1,31.64,0,0,1960.0,-2.0
