,T1_C,T2_C,T3_C,x_HP,x_FAN,U_HP_V,I_HP_mA
2024-10-30 17:33:11.295379,44.7,44.9,63.78,100,0,402.0,1594.0
2024-10-30 17:33:12.295731,44.71,44.9,63.79,100,0,394.0,1595.0
2024-10-30 17:33:22.291729,44.77,44.94,63.74,100,0,394.0,1596.0
2024-10-30 17:33:32.316485,44.81,44.98,63.82,100,0,394.0,1599.0
2024-10-30 17:33:42.337965,44.85,45.03,63.91,100,0,402.0,1596.0
2024-10-30 17:33:52.318302,44.92,45.09,64.0,100,0,402.0,1598.0
2024-10-30 17:34:03.332926,44.98,45.17,64.07,100,0,394.0,1597.0
2024-10-30 17:34:13.297935,45.03,45.21,64.08,100,0,394.0,1596.0
2024-10-30 17:34:23.319034,45.09,45.26,64.14,100,0,402.0,1598.0
2024-10-30 17:34:33.313153,45.13,45.32,64.14,100,0,394.0,1592.0
2024-10-30 17:34:43.315948,45.17,45.39,64.2,100,0,394.0,1596.0
2024-10-30 17:34:53.334445,45.22,45.44,64.32,100,0,394.0,1597.0
2024-10-30 17:35:03.299669,45.28,45.5,64.43,100,0,394.0,1598.0
2024-10-30 17:35:14.309941,45.34,45.54,64.5,100,0,402.0,1594.0
2024-10-30 17:35:24.294312,45.39,45.61,64.58,100,0,402.0,1597.0
2024-10-30 17:35:34.295255,45.44,45.64,64.57,100,0,394.0,1599.0
2024-10-30 17:35:44.302443,45.47,45.67,64.65,100,0,402.0,1595.0
2024-10-30 17:35:54.304782,45.51,45.71,64.71,100,0,386.0,1601.0
2024-10-30 17:36:04.302212,45.55,45.77,64.79,100,0,394.0,1600.0
2024-10-30 17:36:15.301577,45.6,45.85,64.92,100,0,402.0,1598.0
2024-10-30 17:36:25.351413,45.64,45.9,65.08,100,0,402.0,1596.0
2024-10-30 17:36:35.300921,45.69,45.92,65.09,100,0,394.0,1598.0
2024-10-30 17:36:45.298755,45.74,45.97,65.22,100,0,402.0,1597.0
2024-10-30 17:36:55.311030,45.79,46.01,65.29,100,0,402.0,1596.0
2024-10-30 17:37:06.298683,45.84,46.06,65.4,100,0,394.0,1596.0
2024-10-30 17:37:16.302154,45.89,46.09,65.48,100,0,402.0,1597.0
2024-10-30 17:37:26.313199,45.93,46.13,65.54,100,0,402.0,1599.0
2024-10-30 17:37:36.353910,45.99,46.18,65.64,100,0,394.0,1595.0
2024-10-30 17:37:46.343376,46.03,46.22,65.71,100,0,402.0,1598.0
2024-10-30 17:37:56.350152,46.07,46.28,65.71,100,0,402.0,1595.0
2024-10-30 17:38:07.301802,46.12,46.31,65.71,100,0,402.0,1594.0
2024-10-30 17:38:17.316478,46.15,46.35,65.76,100,0,402.0,1596.0
2024-10-30 17:38:27.301523,46.17,46.39,65.9,100,0,402.0,1598.0
2024-10-30 17:38:37.308373,46.2,46.43,66.02,100,0,402.0,1597.0
2024-10-30 17:38:47.305103,46.25,46.47,66.06,100,0,402.0,1598.0
2024-10-30 17:38:57.302829,46.29,46.5,66.09,100,0,402.0,1598.0
2024-10-30 17:39:08.308574,46.35,46.56,66.11,100,0,402.0,1596.0
2024-10-30 17:39:18.319768,46.39,46.61,66.19,100,0,402.0,1596.0
2024-10-30 17:39:28.321565,46.45,46.66,66.23,100,0,394.0,1596.0
2024-10-30 17:39:38.308563,46.48,46.69,66.21,100,0,402.0,1597.0
2024-10-30 17:39:48.308973,46.51,46.73,66.2,100,0,402.0,1594.0
2024-10-30 17:39:58.328716,46.56,46.78,66.25,100,0,402.0,1595.0
2024-10-30 17:40:08.316736,46.6,46.82,66.26,100,0,394.0,1596.0
2024-10-30 17:40:18.329713,46.64,46.85,66.27,100,0,402.0,1595.0
2024-10-30 17:40:29.326112,46.67,46.89,66.32,100,0,402.0,1593.0
2024-10-30 17:40:39.340805,46.71,46.92,66.42,100,0,402.0,1595.0
2024-10-30 17:40:49.363540,46.75,46.96,66.42,100,0,394.0,1593.0
2024-10-30 17:40:59.413539,46.79,47.01,66.48,100,0,402.0,1596.0
2024-10-30 17:41:09.348323,46.79,47.04,66.35,100,0,394.0,1593.0
2024-10-30 17:41:19.380706,46.82,47.07,66.41,100,0,402.0,1596.0
2024-10-30 17:41:30.479452,46.85,47.1,66.57,100,0,394.0,1597.0
2024-10-30 17:41:40.381787,46.89,47.1,66.65,100,0,402.0,1594.0
2024-10-30 17:41:50.422783,46.93,47.11,66.71,100,0,394.0,1594.0
2024-10-30 17:42:00.437325,46.96,47.16,66.73,100,0,402.0,1595.0
2024-10-30 17:42:10.369709,46.99,47.2,66.65,100,0,402.0,1595.0
2024-10-30 17:42:21.444978,47.0,47.25,66.62,100,0,394.0,1593.0
2024-10-30 17:42:31.365791,47.03,47.29,66.68,100,0,402.0,1593.0
2024-10-30 17:42:41.363505,47.07,47.31,66.72,100,0,402.0,1592.0
2024-10-30 17:42:51.453413,47.11,47.35,66.75,100,0,402.0,1592.0
