,T1_C,T2_C,T3_C,x_HP,x_FAN,U_HP_V,I_HP_mA
2024-10-30 16:00:00.350084,33.06,33.32,32.1,0,0,1960.0,-2.0
2024-10-30 16:00:11.340186,33.06,33.32,32.1,0,0,1960.0,-2.0
2024-10-30 16:00:21.337363,33.07,33.32,32.1,0,0,1960.0,-2.0
2024-10-30 16:00:31.443840,33.07,33.34,32.11,0,0,1960.0,-2.0
2024-10-30 16:00:41.351624,33.07,33.33,32.14,0,0,1960.0,-2.0
2024-10-30 16:00:51.379991,33.07,33.33,32.15,0,0,1960.0,-2.0
2024-10-30 16:01:01.355819,33.07,33.33,32.14,0,0,1960.0,-2.0
2024-10-30 16:01:12.380058,33.08,33.33,32.13,0,0,1960.0,-2.0
2024-10-30 16:01:22.409025,33.08,33.33,32.14,0,0,1960.0,-2.0
2024-10-30 16:01:32.349716,33.08,33.34,32.14,0,0,1960.0,-2.0
2024-10-30 16:01:42.377928,33.09,33.35,32.14,0,0,1960.0,-2.0
2024-10-30 16:01:52.423707,33.1,33.35,32.12,0,0,1960.0,-2.0
2024-10-30 16:02:03.333630,33.1,33.35,32.11,0,0,1960.0,-2.0
